X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-77.0532319351785,38.8589777249547,26013744,38.858971,-77.05323,Eads St & 15th St S,classic,1,active,2022/03/25 08:28:21+00,15,0,0,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",41,2022/03/25 10:27:44+00,,"Arlington, VA"
-77.0492321926117,38.8564300951471,26013745,38.856425,-77.049232,Crystal Dr & 20th St S,classic,3,active,2022/03/25 10:03:17+00,13,0,4,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,17,"KEY,CREDITCARD",41,2022/03/25 10:27:44+00,,"Arlington, VA"
-77.0494197371035,38.8610603467884,26013746,38.861056,-77.049417,Crystal Dr & 15th St S,classic,4,active,2022/03/25 09:55:06+00,1,0,15,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,16,"KEY,CREDITCARD",41,2022/03/25 10:27:44+00,,"Arlington, VA"
-77.0594872301002,38.8578756772498,26013747,38.857866,-77.05949,Aurora Hills Cmty Ctr / 18th St & S Hayes St,classic,5,active,2022/03/25 08:45:00+00,6,0,6,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,12,"KEY,CREDITCARD",41,2022/03/25 10:27:44+00,,"Arlington, VA"
-77.0599402863729,38.8623075903488,26013748,38.862303,-77.059936,Pentagon City Metro / 12th St & S Hayes St,classic,6,active,2022/03/25 07:57:43+00,9,0,10,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",41,2022/03/25 10:27:44+00,,"Arlington, VA"
-77.0634208664266,38.8633237031543,26013749,38.863314,-77.063416,Army Navy Dr & S Joyce St,classic,7,active,2022/03/25 10:12:17+00,2,0,13,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,16,"KEY,CREDITCARD",41,2022/03/25 10:27:44+00,,"Arlington, VA"
-77.051698705356,38.8577893016538,26013750,38.857785,-77.051698,Crystal City Metro / 18th St & S Bell St,classic,8,active,2022/03/25 10:08:02+00,16,0,2,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",41,2022/03/25 10:27:44+00,,"Arlington, VA"
-77.0515191612255,38.848474659934,26013751,38.848466,-77.051514,Crystal Dr & 27th St S,classic,10,active,2022/03/25 09:07:21+00,8,0,4,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,12,"KEY,CREDITCARD",41,2022/03/25 10:27:44+00,,"Arlington, VA"
-77.0502017714559,38.8426107359322,26013752,38.8426,-77.0502,S Glebe Rd & Potomac Ave,classic,11,active,2022/03/24 16:46:29+00,8,0,3,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",41,2022/03/25 10:27:44+00,,"Arlington, VA"
-77.0497251673051,38.8529346146315,26013753,38.852929,-77.049723,Crystal Dr & 23rd St S,classic,12,active,2022/03/24 20:19:33+00,12,0,5,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,17,"KEY,CREDITCARD",41,2022/03/25 10:27:44+00,,"Arlington, VA"
